,row,species,sp,site,era,date,nest1,nest2,nest3,nest3note,sampleUnit,size1mm,habitat,tideHTm,lat,long,Shaw_hab,notes,notes2
1487,2405,Chlorostoma.funebralis,CHFU,Wara.D,present,16/07/2014,tran1L,quad1,0.6,m_alongTransect,tran1L_quad1,12,red macroalgae/red crust,3,36.62138N,121.90374W,,,l_oxynotos
1488,2406,Chlorostoma.funebralis,CHFU,Wara.D,present,16/07/2014,tran1L,quad1,0.6,m_alongTransect,tran1L_quad1,13.4,red macroalgae/red crust,3,36.62138N,121.90374W,,,l_oxynotos
1489,2407,Chlorostoma.funebralis,CHFU,Wara.D,present,16/07/2014,tran1L,quad1,0.6,m_alongTransect,tran1L_quad1,12.8,red macroalgae/red crust,3,36.62138N,121.90374W,,,l_oxynotos
1490,2408,Chlorostoma.funebralis,CHFU,Wara.D,present,16/07/2014,tran1L,quad1,0.6,m_alongTransect,tran1L_quad1,10.2,red macroalgae/red crust,3,36.62138N,121.90374W,,,l_oxynotos
1491,2409,Chlorostoma.funebralis,CHFU,Wara.D,present,16/07/2014,tran1L,quad1,0.6,m_alongTransect,tran1L_quad1,11.6,red macroalgae/red crust,3,36.62138N,121.90374W,,,l_oxynotos
1492,2410,Chlorostoma.funebralis,CHFU,Wara.D,present,16/07/2014,tran1L,quad1,0.6,m_alongTransect,tran1L_quad1,11.1,red macroalgae/red crust,3,36.62138N,121.90374W,,,l_oxynotos
1493,2411,Chlorostoma.funebralis,CHFU,Wara.D,present,16/07/2014,tran1L,quad1,0.6,m_alongTransect,tran1L_quad1,12.4,red macroalgae/red crust,3,36.62138N,121.90374W,,,l_oxynotos
1494,2412,Chlorostoma.funebralis,CHFU,Wara.D,present,16/07/2014,tran1L,quad1,0.6,m_alongTransect,tran1L_quad1,11.9,red macroalgae/red crust,3,36.62138N,121.90374W,,,l_oxynotos
1495,2413,Chlorostoma.funebralis,CHFU,Wara.D,present,16/07/2014,tran1L,quad1,0.6,m_alongTransect,tran1L_quad1,10.9,red macroalgae/red crust,3,36.62138N,121.90374W,,,l_oxynotos
1496,2414,Chlorostoma.funebralis,CHFU,Wara.D,present,16/07/2014,tran1L,quad1,0.6,m_alongTransect,tran1L_quad1,8.3,red macroalgae/red crust,3,36.62138N,121.90374W,,,l_oxynotos
1497,2415,Chlorostoma.funebralis,CHFU,Wara.D,present,16/07/2014,tran1L,quad1,0.6,m_alongTransect,tran1L_quad1,12.4,red macroalgae/red crust,3,36.62138N,121.90374W,,,l_oxynotos
1498,2416,Chlorostoma.funebralis,CHFU,Wara.D,present,16/07/2014,tran1L,quad1,0.6,m_alongTransect,tran1L_quad1,8,red macroalgae/red crust,3,36.62138N,121.90374W,,,l_oxynotos
1499,2417,Chlorostoma.funebralis,CHFU,Wara.D,present,16/07/2014,tran1L,quad1,0.6,m_alongTransect,tran1L_quad1,7.9,red macroalgae/red crust,3,36.62138N,121.90374W,,,l_oxynotos
1500,2418,Chlorostoma.funebralis,CHFU,Wara.D,present,16/07/2014,tran1L,quad1,0.6,m_alongTransect,tran1L_quad1,7.9,red macroalgae/red crust,3,36.62138N,121.90374W,,,l_oxynotos
1501,2419,Chlorostoma.funebralis,CHFU,Wara.D,present,16/07/2014,tran1L,quad1,0.6,m_alongTransect,tran1L_quad1,7.9,red macroalgae/red crust,3,36.62138N,121.90374W,,,l_oxynotos
1502,2420,Chlorostoma.funebralis,CHFU,Wara.D,present,16/07/2014,tran1L,quad1,0.6,m_alongTransect,tran1L_quad1,6.6,red macroalgae/red crust,3,36.62138N,121.90374W,,,l_oxynotos
1503,2421,Chlorostoma.funebralis,CHFU,Wara.D,present,16/07/2014,tran1L,quad1,0.6,m_alongTransect,tran1L_quad1,10.8,red macroalgae/red crust,3,36.62138N,121.90374W,,,l_oxynotos
1504,2422,Chlorostoma.funebralis,CHFU,Wara.D,present,16/07/2014,tran1L,quad1,0.6,m_alongTransect,tran1L_quad1,11.4,red macroalgae/red crust,3,36.62138N,121.90374W,,,l_oxynotos
1505,2423,Chlorostoma.funebralis,CHFU,Wara.D,present,16/07/2014,tran1L,quad1,0.6,m_alongTransect,tran1L_quad1,11,red macroalgae/red crust,3,36.62138N,121.90374W,,,l_oxynotos
1506,2424,Chlorostoma.funebralis,CHFU,Wara.D,present,16/07/2014,tran1L,quad1,0.6,m_alongTransect,tran1L_quad1,9.9,red macroalgae/red crust,3,36.62138N,121.90374W,,,l_oxynotos
1507,2425,Chlorostoma.funebralis,CHFU,Wara.D,present,16/07/2014,tran1L,quad1,0.6,m_alongTransect,tran1L_quad1,10,red macroalgae/red crust,3,36.62138N,121.90374W,,,l_oxynotos
1508,2426,Chlorostoma.funebralis,CHFU,Wara.D,present,16/07/2014,tran1L,quad1,0.6,m_alongTransect,tran1L_quad1,8.7,red macroalgae/red crust,3,36.62138N,121.90374W,,,l_oxynotos
1509,2427,Chlorostoma.funebralis,CHFU,Wara.D,present,16/07/2014,tran1L,quad1,0.6,m_alongTransect,tran1L_quad1,7.3,red macroalgae/red crust,3,36.62138N,121.90374W,,,l_oxynotos
1510,2428,Chlorostoma.funebralis,CHFU,Wara.D,present,16/07/2014,tran1L,quad1,0.6,m_alongTransect,tran1L_quad1,8.1,red macroalgae/red crust,3,36.62138N,121.90374W,,,l_oxynotos
1511,2429,Chlorostoma.funebralis,CHFU,Wara.D,present,16/07/2014,tran1L,quad1,0.6,m_alongTransect,tran1L_quad1,7.9,red macroalgae/red crust,3,36.62138N,121.90374W,,,l_oxynotos
1512,2430,Chlorostoma.funebralis,CHFU,Wara.D,present,16/07/2014,tran1L,quad1,0.6,m_alongTransect,tran1L_quad1,7,red macroalgae/red crust,3,36.62138N,121.90374W,,,l_oxynotos
1513,2431,Chlorostoma.funebralis,CHFU,Wara.D,present,16/07/2014,tran1L,quad1,0.6,m_alongTransect,tran1L_quad1,9,red macroalgae/red crust,3,36.62138N,121.90374W,,,l_oxynotos
1514,2432,Chlorostoma.funebralis,CHFU,Wara.D,present,16/07/2014,tran1L,quad1,0.6,m_alongTransect,tran1L_quad1,7.5,red macroalgae/red crust,3,36.62138N,121.90374W,,,l_oxynotos
1515,2433,Chlorostoma.funebralis,CHFU,Wara.D,present,16/07/2014,tran1L,quad1,0.6,m_alongTransect,tran1L_quad1,11.3,red macroalgae/red crust,3,36.62138N,121.90374W,,,l_oxynotos
1516,2434,Chlorostoma.funebralis,CHFU,Wara.D,present,16/07/2014,tran1L,quad1,0.6,m_alongTransect,tran1L_quad1,7.4,red macroalgae/red crust,3,36.62138N,121.90374W,,,l_oxynotos
1517,2435,Chlorostoma.funebralis,CHFU,Wara.D,present,16/07/2014,tran1L,quad1,0.6,m_alongTransect,tran1L_quad1,10.7,red macroalgae/red crust,3,36.62138N,121.90374W,,,l_oxynotos
1518,2436,Chlorostoma.funebralis,CHFU,Wara.D,present,16/07/2014,tran1L,quad1,0.6,m_alongTransect,tran1L_quad1,7.6,red macroalgae/red crust,3,36.62138N,121.90374W,,,l_oxynotos
1519,2437,Chlorostoma.funebralis,CHFU,Wara.D,present,16/07/2014,tran1L,quad1,0.6,m_alongTransect,tran1L_quad1,11.5,red macroalgae/red crust,3,36.62138N,121.90374W,,,l_oxynotos
1520,2438,Chlorostoma.funebralis,CHFU,Wara.D,present,16/07/2014,tran1L,quad1,0.6,m_alongTransect,tran1L_quad1,11.1,red macroalgae/red crust,3,36.62138N,121.90374W,,,l_oxynotos
1521,2439,Chlorostoma.funebralis,CHFU,Wara.D,present,16/07/2014,tran1L,quad1,0.6,m_alongTransect,tran1L_quad1,12.8,red macroalgae/red crust,3,36.62138N,121.90374W,,,l_oxynotos
1522,2440,Chlorostoma.funebralis,CHFU,Wara.D,present,16/07/2014,tran1L,quad1,0.6,m_alongTransect,tran1L_quad1,12.3,red macroalgae/red crust,3,36.62138N,121.90374W,,,l_oxynotos
1523,2441,Chlorostoma.funebralis,CHFU,Wara.D,present,16/07/2014,tran1L,quad1,0.6,m_alongTransect,tran1L_quad1,2.7,red macroalgae/red crust,3,36.62138N,121.90374W,,,l_oxynotos
1524,2454,Chlorostoma.funebralis,CHFU,Wara.D,present,16/07/2014,tran1L,quad2,2.22,m_alongTransect,tran1L_quad2,4.2,red macroalgae,4,36.62138N,121.90374W,,,l_carcharias
1525,2455,Chlorostoma.funebralis,CHFU,Wara.D,present,16/07/2014,tran1L,quad2,2.22,m_alongTransect,tran1L_quad2,13.9,red macroalgae,4,36.62138N,121.90374W,,,l_carcharias
1526,2456,Chlorostoma.funebralis,CHFU,Wara.D,present,16/07/2014,tran1L,quad2,2.22,m_alongTransect,tran1L_quad2,13.3,red macroalgae,4,36.62138N,121.90374W,,,l_carcharias
1527,2457,Chlorostoma.funebralis,CHFU,Wara.D,present,16/07/2014,tran1L,quad2,2.22,m_alongTransect,tran1L_quad2,13.4,red macroalgae,4,36.62138N,121.90374W,,,l_carcharias
1528,2458,Chlorostoma.funebralis,CHFU,Wara.D,present,16/07/2014,tran1L,quad2,2.22,m_alongTransect,tran1L_quad2,17.7,red macroalgae,4,36.62138N,121.90374W,,,l_carcharias
1529,2459,Chlorostoma.funebralis,CHFU,Wara.D,present,16/07/2014,tran1L,quad2,2.22,m_alongTransect,tran1L_quad2,13.5,red macroalgae,4,36.62138N,121.90374W,,,l_carcharias
1530,2460,Chlorostoma.funebralis,CHFU,Wara.D,present,16/07/2014,tran1L,quad2,2.22,m_alongTransect,tran1L_quad2,13.2,red macroalgae,4,36.62138N,121.90374W,,,l_carcharias
1531,2461,Chlorostoma.funebralis,CHFU,Wara.D,present,16/07/2014,tran1L,quad2,2.22,m_alongTransect,tran1L_quad2,13.7,red macroalgae,4,36.62138N,121.90374W,,,l_carcharias
1532,2462,Chlorostoma.funebralis,CHFU,Wara.D,present,16/07/2014,tran1L,quad2,2.22,m_alongTransect,tran1L_quad2,14.6,red macroalgae,4,36.62138N,121.90374W,,,l_carcharias
1533,2463,Chlorostoma.funebralis,CHFU,Wara.D,present,16/07/2014,tran1L,quad2,2.22,m_alongTransect,tran1L_quad2,13.3,red macroalgae,4,36.62138N,121.90374W,,,l_carcharias
1534,2464,Chlorostoma.funebralis,CHFU,Wara.D,present,16/07/2014,tran1L,quad2,2.22,m_alongTransect,tran1L_quad2,13.4,red macroalgae,4,36.62138N,121.90374W,,,l_carcharias
1535,2465,Chlorostoma.funebralis,CHFU,Wara.D,present,16/07/2014,tran1L,quad2,2.22,m_alongTransect,tran1L_quad2,14.3,red macroalgae,4,36.62138N,121.90374W,,,l_carcharias
1536,2466,Chlorostoma.funebralis,CHFU,Wara.D,present,16/07/2014,tran1L,quad2,2.22,m_alongTransect,tran1L_quad2,13.5,red macroalgae,4,36.62138N,121.90374W,,,l_carcharias
1537,2467,Chlorostoma.funebralis,CHFU,Wara.D,present,16/07/2014,tran1L,quad2,2.22,m_alongTransect,tran1L_quad2,12.5,red macroalgae,4,36.62138N,121.90374W,,,l_carcharias
1538,2468,Chlorostoma.funebralis,CHFU,Wara.D,present,16/07/2014,tran1L,quad2,2.22,m_alongTransect,tran1L_quad2,14.2,red macroalgae,4,36.62138N,121.90374W,,,l_carcharias
1539,2469,Chlorostoma.funebralis,CHFU,Wara.D,present,16/07/2014,tran1L,quad2,2.22,m_alongTransect,tran1L_quad2,13.6,red macroalgae,4,36.62138N,121.90374W,,,l_carcharias
1540,2470,Chlorostoma.funebralis,CHFU,Wara.D,present,16/07/2014,tran1L,quad2,2.22,m_alongTransect,tran1L_quad2,13.7,red macroalgae,4,36.62138N,121.90374W,,,l_carcharias
1541,2471,Chlorostoma.funebralis,CHFU,Wara.D,present,16/07/2014,tran1L,quad2,2.22,m_alongTransect,tran1L_quad2,13.6,red macroalgae,4,36.62138N,121.90374W,,,l_carcharias
1542,2472,Chlorostoma.funebralis,CHFU,Wara.D,present,16/07/2014,tran1L,quad2,2.22,m_alongTransect,tran1L_quad2,18.8,red macroalgae,4,36.62138N,121.90374W,,,l_carcharias
1543,2473,Chlorostoma.funebralis,CHFU,Wara.D,present,16/07/2014,tran1L,quad2,2.22,m_alongTransect,tran1L_quad2,13,red macroalgae,4,36.62138N,121.90374W,,,l_carcharias
1544,2474,Chlorostoma.funebralis,CHFU,Wara.D,present,16/07/2014,tran1L,quad2,2.22,m_alongTransect,tran1L_quad2,12.7,red macroalgae,4,36.62138N,121.90374W,,,l_carcharias
1545,2475,Chlorostoma.funebralis,CHFU,Wara.D,present,16/07/2014,tran1L,quad2,2.22,m_alongTransect,tran1L_quad2,14,red macroalgae,4,36.62138N,121.90374W,,,l_carcharias
1546,2476,Chlorostoma.funebralis,CHFU,Wara.D,present,16/07/2014,tran1L,quad2,2.22,m_alongTransect,tran1L_quad2,12,red macroalgae,4,36.62138N,121.90374W,,,l_carcharias
1547,2477,Chlorostoma.funebralis,CHFU,Wara.D,present,16/07/2014,tran1L,quad2,2.22,m_alongTransect,tran1L_quad2,14.3,red macroalgae,4,36.62138N,121.90374W,,,l_carcharias
1548,2478,Chlorostoma.funebralis,CHFU,Wara.D,present,16/07/2014,tran1L,quad2,2.22,m_alongTransect,tran1L_quad2,11.5,red macroalgae,4,36.62138N,121.90374W,,,l_carcharias
1549,2479,Chlorostoma.funebralis,CHFU,Wara.D,present,16/07/2014,tran1L,quad2,2.22,m_alongTransect,tran1L_quad2,13.2,red macroalgae,4,36.62138N,121.90374W,,,l_carcharias
1550,2480,Chlorostoma.funebralis,CHFU,Wara.D,present,16/07/2014,tran1L,quad2,2.22,m_alongTransect,tran1L_quad2,14.3,red macroalgae,4,36.62138N,121.90374W,,,l_carcharias
1551,2481,Chlorostoma.funebralis,CHFU,Wara.D,present,16/07/2014,tran1L,quad2,2.22,m_alongTransect,tran1L_quad2,13.8,red macroalgae,4,36.62138N,121.90374W,,,l_carcharias
1552,2482,Chlorostoma.funebralis,CHFU,Wara.D,present,16/07/2014,tran1L,quad2,2.22,m_alongTransect,tran1L_quad2,8.2,red macroalgae,4,36.62138N,121.90374W,,,l_carcharias
1553,2483,Chlorostoma.funebralis,CHFU,Wara.D,present,16/07/2014,tran1L,quad2,2.22,m_alongTransect,tran1L_quad2,14.8,red macroalgae,4,36.62138N,121.90374W,,,l_carcharias
1554,2484,Chlorostoma.funebralis,CHFU,Wara.D,present,16/07/2014,tran1L,quad2,2.22,m_alongTransect,tran1L_quad2,14.7,red macroalgae,4,36.62138N,121.90374W,,,l_carcharias
1555,2485,Chlorostoma.funebralis,CHFU,Wara.D,present,16/07/2014,tran1L,quad2,2.22,m_alongTransect,tran1L_quad2,13.8,red macroalgae,4,36.62138N,121.90374W,,,l_carcharias
1556,2486,Chlorostoma.funebralis,CHFU,Wara.D,present,16/07/2014,tran1L,quad2,2.22,m_alongTransect,tran1L_quad2,15.3,red macroalgae,4,36.62138N,121.90374W,,,l_carcharias
1557,2487,Chlorostoma.funebralis,CHFU,Wara.D,present,16/07/2014,tran1L,quad2,2.22,m_alongTransect,tran1L_quad2,12.4,red macroalgae,4,36.62138N,121.90374W,,,l_carcharias
1558,2488,Chlorostoma.funebralis,CHFU,Wara.D,present,16/07/2014,tran1L,quad2,2.22,m_alongTransect,tran1L_quad2,13.6,red macroalgae,4,36.62138N,121.90374W,,,l_carcharias
1559,2489,Chlorostoma.funebralis,CHFU,Wara.D,present,16/07/2014,tran1L,quad2,2.22,m_alongTransect,tran1L_quad2,13.6,red macroalgae,4,36.62138N,121.90374W,,,l_carcharias
1560,2490,Chlorostoma.funebralis,CHFU,Wara.D,present,16/07/2014,tran1L,quad2,2.22,m_alongTransect,tran1L_quad2,16.5,red macroalgae,4,36.62138N,121.90374W,,,l_carcharias
1561,2491,Chlorostoma.funebralis,CHFU,Wara.D,present,16/07/2014,tran1L,quad2,2.22,m_alongTransect,tran1L_quad2,15.5,red macroalgae,4,36.62138N,121.90374W,,,l_carcharias
1562,2492,Chlorostoma.funebralis,CHFU,Wara.D,present,16/07/2014,tran1L,quad2,2.22,m_alongTransect,tran1L_quad2,14.6,red macroalgae,4,36.62138N,121.90374W,,,l_carcharias
1563,2493,Chlorostoma.funebralis,CHFU,Wara.D,present,16/07/2014,tran1L,quad2,2.22,m_alongTransect,tran1L_quad2,13.3,red macroalgae,4,36.62138N,121.90374W,,,l_carcharias
1564,2494,Chlorostoma.funebralis,CHFU,Wara.D,present,16/07/2014,tran1L,quad2,2.22,m_alongTransect,tran1L_quad2,16.9,red macroalgae,4,36.62138N,121.90374W,,,l_carcharias
1565,2495,Chlorostoma.funebralis,CHFU,Wara.D,present,16/07/2014,tran1L,quad2,2.22,m_alongTransect,tran1L_quad2,13.3,red macroalgae,4,36.62138N,121.90374W,,,l_carcharias
1566,2496,Chlorostoma.funebralis,CHFU,Wara.D,present,16/07/2014,tran1L,quad2,2.22,m_alongTransect,tran1L_quad2,15.3,red macroalgae,4,36.62138N,121.90374W,,,l_carcharias
1567,2497,Chlorostoma.funebralis,CHFU,Wara.D,present,16/07/2014,tran1L,quad2,2.22,m_alongTransect,tran1L_quad2,13.6,red macroalgae,4,36.62138N,121.90374W,,,l_carcharias
1568,2498,Chlorostoma.funebralis,CHFU,Wara.D,present,16/07/2014,tran1L,quad2,2.22,m_alongTransect,tran1L_quad2,11,red macroalgae,4,36.62138N,121.90374W,,,l_carcharias
1569,2499,Chlorostoma.funebralis,CHFU,Wara.D,present,16/07/2014,tran1L,quad2,2.22,m_alongTransect,tran1L_quad2,14.5,red macroalgae,4,36.62138N,121.90374W,,,l_carcharias
1570,2500,Chlorostoma.funebralis,CHFU,Wara.D,present,16/07/2014,tran1L,quad2,2.22,m_alongTransect,tran1L_quad2,13.1,red macroalgae,4,36.62138N,121.90374W,,,l_carcharias
1571,2501,Chlorostoma.funebralis,CHFU,Wara.D,present,16/07/2014,tran1L,quad2,2.22,m_alongTransect,tran1L_quad2,14.5,red macroalgae,4,36.62138N,121.90374W,,,l_carcharias
1572,2502,Chlorostoma.funebralis,CHFU,Wara.D,present,16/07/2014,tran1L,quad2,2.22,m_alongTransect,tran1L_quad2,11.7,red macroalgae,4,36.62138N,121.90374W,,,l_carcharias
1573,2503,Chlorostoma.funebralis,CHFU,Wara.D,present,16/07/2014,tran1L,quad2,2.22,m_alongTransect,tran1L_quad2,13.5,red macroalgae,4,36.62138N,121.90374W,,,l_carcharias
1574,2504,Chlorostoma.funebralis,CHFU,Wara.D,present,16/07/2014,tran1L,quad2,2.22,m_alongTransect,tran1L_quad2,13.9,red macroalgae,4,36.62138N,121.90374W,,,l_carcharias
1575,2505,Chlorostoma.funebralis,CHFU,Wara.D,present,16/07/2014,tran1L,quad2,2.22,m_alongTransect,tran1L_quad2,16.5,red macroalgae,4,36.62138N,121.90374W,,,l_carcharias
1576,2506,Chlorostoma.funebralis,CHFU,Wara.D,present,16/07/2014,tran1L,quad2,2.22,m_alongTransect,tran1L_quad2,12.9,red macroalgae,4,36.62138N,121.90374W,,,l_carcharias
1577,2507,Chlorostoma.funebralis,CHFU,Wara.D,present,16/07/2014,tran1L,quad2,2.22,m_alongTransect,tran1L_quad2,13.9,red macroalgae,4,36.62138N,121.90374W,,,l_carcharias
1578,2508,Chlorostoma.funebralis,CHFU,Wara.D,present,16/07/2014,tran1L,quad2,2.22,m_alongTransect,tran1L_quad2,12.8,red macroalgae,4,36.62138N,121.90374W,,,l_carcharias
1579,2509,Chlorostoma.funebralis,CHFU,Wara.D,present,16/07/2014,tran1L,quad2,2.22,m_alongTransect,tran1L_quad2,12.4,red macroalgae,4,36.62138N,121.90374W,,,l_carcharias
1580,2510,Chlorostoma.funebralis,CHFU,Wara.D,present,16/07/2014,tran1L,quad2,2.22,m_alongTransect,tran1L_quad2,13.1,red macroalgae,4,36.62138N,121.90374W,,,l_carcharias
1581,2511,Chlorostoma.funebralis,CHFU,Wara.D,present,16/07/2014,tran1L,quad2,2.22,m_alongTransect,tran1L_quad2,14.9,red macroalgae,4,36.62138N,121.90374W,,,l_carcharias
1582,2512,Chlorostoma.funebralis,CHFU,Wara.D,present,16/07/2014,tran1L,quad2,2.22,m_alongTransect,tran1L_quad2,13.9,red macroalgae,4,36.62138N,121.90374W,,,l_carcharias
1583,2513,Chlorostoma.funebralis,CHFU,Wara.D,present,16/07/2014,tran1L,quad2,2.22,m_alongTransect,tran1L_quad2,14.6,red macroalgae,4,36.62138N,121.90374W,,,l_carcharias
1584,2514,Chlorostoma.funebralis,CHFU,Wara.D,present,16/07/2014,tran1L,quad2,2.22,m_alongTransect,tran1L_quad2,13.2,red macroalgae,4,36.62138N,121.90374W,,,l_carcharias
1585,2515,Chlorostoma.funebralis,CHFU,Wara.D,present,16/07/2014,tran1L,quad2,2.22,m_alongTransect,tran1L_quad2,13.4,red macroalgae,4,36.62138N,121.90374W,,,l_carcharias
1586,2516,Chlorostoma.funebralis,CHFU,Wara.D,present,16/07/2014,tran1L,quad2,2.22,m_alongTransect,tran1L_quad2,13.1,red macroalgae,4,36.62138N,121.90374W,,,l_carcharias
1587,2517,Chlorostoma.funebralis,CHFU,Wara.D,present,16/07/2014,tran1L,quad2,2.22,m_alongTransect,tran1L_quad2,15.7,red macroalgae,4,36.62138N,121.90374W,,,l_carcharias
1588,2518,Chlorostoma.funebralis,CHFU,Wara.D,present,16/07/2014,tran1L,quad2,2.22,m_alongTransect,tran1L_quad2,13.1,red macroalgae,4,36.62138N,121.90374W,,,l_carcharias
1589,2519,Chlorostoma.funebralis,CHFU,Wara.D,present,16/07/2014,tran1L,quad2,2.22,m_alongTransect,tran1L_quad2,14.9,red macroalgae,4,36.62138N,121.90374W,,,l_carcharias
1590,2520,Chlorostoma.funebralis,CHFU,Wara.D,present,16/07/2014,tran1L,quad2,2.22,m_alongTransect,tran1L_quad2,13.1,red macroalgae,4,36.62138N,121.90374W,,,l_carcharias
1591,2521,Chlorostoma.funebralis,CHFU,Wara.D,present,16/07/2014,tran1L,quad2,2.22,m_alongTransect,tran1L_quad2,19.2,red macroalgae,4,36.62138N,121.90374W,,,l_carcharias
1592,2522,Chlorostoma.funebralis,CHFU,Wara.D,present,16/07/2014,tran1L,quad2,2.22,m_alongTransect,tran1L_quad2,13.1,red macroalgae,4,36.62138N,121.90374W,,,l_carcharias
1593,2523,Chlorostoma.funebralis,CHFU,Wara.D,present,16/07/2014,tran1L,quad2,2.22,m_alongTransect,tran1L_quad2,15.2,red macroalgae,4,36.62138N,121.90374W,,,l_carcharias
1594,2524,Chlorostoma.funebralis,CHFU,Wara.D,present,16/07/2014,tran1L,quad2,2.22,m_alongTransect,tran1L_quad2,15.1,red macroalgae,4,36.62138N,121.90374W,,,l_carcharias
1595,2525,Chlorostoma.funebralis,CHFU,Wara.D,present,16/07/2014,tran1L,quad2,2.22,m_alongTransect,tran1L_quad2,13.1,red macroalgae,4,36.62138N,121.90374W,,,l_carcharias
1596,2526,Chlorostoma.funebralis,CHFU,Wara.D,present,16/07/2014,tran1L,quad2,2.22,m_alongTransect,tran1L_quad2,13.8,red macroalgae,4,36.62138N,121.90374W,,,l_carcharias
1597,2527,Chlorostoma.funebralis,CHFU,Wara.D,present,16/07/2014,tran1L,quad2,2.22,m_alongTransect,tran1L_quad2,13.3,red macroalgae,4,36.62138N,121.90374W,,,l_carcharias
1598,2528,Chlorostoma.funebralis,CHFU,Wara.D,present,16/07/2014,tran1L,quad2,2.22,m_alongTransect,tran1L_quad2,12.5,red macroalgae,4,36.62138N,121.90374W,,,l_carcharias
1599,2529,Chlorostoma.funebralis,CHFU,Wara.D,present,16/07/2014,tran1L,quad2,2.22,m_alongTransect,tran1L_quad2,12.4,red macroalgae,4,36.62138N,121.90374W,,,l_carcharias
1600,2530,Chlorostoma.funebralis,CHFU,Wara.D,present,16/07/2014,tran1L,quad2,2.22,m_alongTransect,tran1L_quad2,13.2,red macroalgae,4,36.62138N,121.90374W,,,l_carcharias
1601,2531,Chlorostoma.funebralis,CHFU,Wara.D,present,16/07/2014,tran1L,quad2,2.22,m_alongTransect,tran1L_quad2,13.2,red macroalgae,4,36.62138N,121.90374W,,,l_carcharias
1602,2532,Chlorostoma.funebralis,CHFU,Wara.D,present,16/07/2014,tran1L,quad2,2.22,m_alongTransect,tran1L_quad2,12.8,red macroalgae,4,36.62138N,121.90374W,,,l_carcharias
1603,2533,Chlorostoma.funebralis,CHFU,Wara.D,present,16/07/2014,tran1L,quad2,2.22,m_alongTransect,tran1L_quad2,13.1,red macroalgae,4,36.62138N,121.90374W,,,l_carcharias
1604,2534,Chlorostoma.funebralis,CHFU,Wara.D,present,16/07/2014,tran1L,quad2,2.22,m_alongTransect,tran1L_quad2,14.3,red macroalgae,4,36.62138N,121.90374W,,,l_carcharias
1605,2535,Chlorostoma.funebralis,CHFU,Wara.D,present,16/07/2014,tran1L,quad2,2.22,m_alongTransect,tran1L_quad2,13.1,red macroalgae,4,36.62138N,121.90374W,,,l_carcharias
1606,2536,Chlorostoma.funebralis,CHFU,Wara.D,present,16/07/2014,tran1L,quad2,2.22,m_alongTransect,tran1L_quad2,13.3,red macroalgae,4,36.62138N,121.90374W,,,l_carcharias
1607,2537,Chlorostoma.funebralis,CHFU,Wara.D,present,16/07/2014,tran1L,quad2,2.22,m_alongTransect,tran1L_quad2,13.6,red macroalgae,4,36.62138N,121.90374W,,,l_carcharias
1608,2538,Chlorostoma.funebralis,CHFU,Wara.D,present,16/07/2014,tran1L,quad2,2.22,m_alongTransect,tran1L_quad2,15,red macroalgae,4,36.62138N,121.90374W,,,l_carcharias
1609,2539,Chlorostoma.funebralis,CHFU,Wara.D,present,16/07/2014,tran1L,quad2,2.22,m_alongTransect,tran1L_quad2,12.3,red macroalgae,4,36.62138N,121.90374W,,,l_carcharias
1610,2540,Chlorostoma.funebralis,CHFU,Wara.D,present,16/07/2014,tran1L,quad2,2.22,m_alongTransect,tran1L_quad2,13.6,red macroalgae,4,36.62138N,121.90374W,,,l_carcharias
1611,2541,Chlorostoma.funebralis,CHFU,Wara.D,present,16/07/2014,tran1L,quad2,2.22,m_alongTransect,tran1L_quad2,13.1,red macroalgae,4,36.62138N,121.90374W,,,l_carcharias
1612,2542,Chlorostoma.funebralis,CHFU,Wara.D,present,16/07/2014,tran1L,quad2,2.22,m_alongTransect,tran1L_quad2,12.5,red macroalgae,4,36.62138N,121.90374W,,,l_carcharias
1613,2543,Chlorostoma.funebralis,CHFU,Wara.D,present,16/07/2014,tran1L,quad2,2.22,m_alongTransect,tran1L_quad2,13.6,red macroalgae,4,36.62138N,121.90374W,,,l_carcharias
1614,2544,Chlorostoma.funebralis,CHFU,Wara.D,present,16/07/2014,tran1L,quad2,2.22,m_alongTransect,tran1L_quad2,10.2,red macroalgae,4,36.62138N,121.90374W,,,l_carcharias
1615,2545,Chlorostoma.funebralis,CHFU,Wara.D,present,16/07/2014,tran1L,quad2,2.22,m_alongTransect,tran1L_quad2,14.6,red macroalgae,4,36.62138N,121.90374W,,,l_carcharias
1616,2546,Chlorostoma.funebralis,CHFU,Wara.D,present,16/07/2014,tran1L,quad2,2.22,m_alongTransect,tran1L_quad2,11.8,red macroalgae,4,36.62138N,121.90374W,,,l_carcharias
1617,2547,Chlorostoma.funebralis,CHFU,Wara.D,present,16/07/2014,tran1L,quad2,2.22,m_alongTransect,tran1L_quad2,13.9,red macroalgae,4,36.62138N,121.90374W,,,l_carcharias
1618,2548,Chlorostoma.funebralis,CHFU,Wara.D,present,16/07/2014,tran1L,quad2,2.22,m_alongTransect,tran1L_quad2,12.5,red macroalgae,4,36.62138N,121.90374W,,,l_carcharias
1619,2549,Chlorostoma.funebralis,CHFU,Wara.D,present,16/07/2014,tran1L,quad2,2.22,m_alongTransect,tran1L_quad2,13.8,red macroalgae,4,36.62138N,121.90374W,,,l_carcharias
